id,start_id,end_id,direction,start_name,start_coordinate,end_name,end_coordinate,bus_lines,start_lon,start_lat,end_lon,end_lat
1487,9047,4259,2,STIENON,"4.328816, 50.889855",PATTIJN,"4.325105, 50.891131",83,4.328816000000001,50.889855,4.325105000000001,50.891131
1488,4259,2842,2,PATTIJN,"4.325105, 50.891131",TIRCHER,"4.323333, 50.892546",83,4.325105000000001,50.891131,4.323333,50.892546
1489,2842,4072,2,TIRCHER,"4.323333, 50.892546",DE HEYN,"4.320188, 50.893633",83,4.323333,50.892546,4.320188,50.893633
1490,4072,4261,2,DE HEYN,"4.320188, 50.893633",PALFIJN,"4.326119, 50.893859",83,4.320188,50.893633,4.326119,50.893859
1491,4261,4268,2,PALFIJN,"4.326119, 50.893859",AMETHYSTE,"4.32708, 50.89602",83,4.326119,50.893859,4.3270800000000005,50.89602
1492,4268,6482,2,AMETHYSTE,"4.32708, 50.89602",ROI BAUDOUIN,"4.329876, 50.896813",83,4.3270800000000005,50.89602,4.3298760000000005,50.896813
1493,6482,4264,2,ROI BAUDOUIN,"4.329876, 50.896813",HEYSEL,"4.336515, 50.896824",83,4.3298760000000005,50.896813,4.336515,50.896824
1494,4264,2742,2,HEYSEL,"4.336515, 50.896824",PALAIS 12,"4.341281, 50.89932",83,4.336515,50.896824,4.3412809999999995,50.89932
1495,2742,2745,2,PALAIS 12,"4.341281, 50.89932",ESPLANADE,"4.347422, 50.901578",83,4.3412809999999995,50.89932,4.347422,50.901578
1496,2745,2747,2,ESPLANADE,"4.347422, 50.901578",BERGDAL,"4.355632, 50.901262",83,4.347422,50.901578,4.355632,50.901262
1497,2747,2751,2,BERGDAL,"4.355632, 50.901262",FORUM,"4.357207, 50.898963",83,4.355632,50.901262,4.357207,50.898963
1498,2751,2813,2,FORUM,"4.357207, 50.898963",DE WAND,"4.357282, 50.895678",83,4.357207,50.898963,4.357282,50.895678000000004
1499,2817,2756,2,BEYSEGHEM,"4.37704, 50.896604",CRAETBOS,"4.382687, 50.89641",83,4.37704,50.896603999999996,4.382687000000001,50.896409999999996
1500,2756,2365,2,CRAETBOS,"4.382687, 50.89641",VAL MARIA,"4.385399, 50.899893",83,4.382687000000001,50.896409999999996,4.385399,50.899893
1501,2558,4267,1,BOCKSTAEL,"4.347326, 50.877697",NEKKERSDAL,"4.346305, 50.873832",86,4.347326,50.877697,4.346305,50.873832
1502,4267,3413,1,NEKKERSDAL,"4.346305, 50.873832",POUCHKINE,"4.34512, 50.871257","86, 88",4.346305,50.873832,4.34512,50.871257
1503,1348,1671,1,TOUR ET TAXIS,"4.350303, 50.864947",SUZAN DANIEL,"4.347661, 50.86303",86,4.350303,50.864946999999994,4.347661,50.86303
1504,4214,4074,1,MERCHTEM,"4.336782, 50.858413",ETANGS NOIRS,"4.334084, 50.857531",86,4.336782,50.858413,4.334084,50.857531
1505,4074,6702,1,ETANGS NOIRS,"4.334084, 50.857531",BORNE,"4.335186, 50.855459",86,4.334084,50.857531,4.335186,50.855459
1506,6702,6706,1,BORNE,"4.335186, 50.855459",SAVONNERIE,"4.331389, 50.853178",86,4.335186,50.855459,4.331389,50.853178
1507,6706,4594,1,SAVONNERIE,"4.331389, 50.853178",DUCHESSE BRABANT,"4.328818, 50.849635",86,4.331389,50.853178,4.328818,50.849635
1508,4594,3225,1,DUCHESSE BRABANT,"4.328818, 50.849635",QUATRE-VENTS,"4.32557, 50.849177",86,4.328818,50.849635,4.32557,50.849177000000005
1509,3225,3230,1,QUATRE-VENTS,"4.32557, 50.849177",GARE DE L'OUEST,"4.320969, 50.848852",86,4.32557,50.849177000000005,4.320969,50.848852
1510,3230,3231,1,GARE DE L'OUEST,"4.320969, 50.848852",JOSEPH BAECK,"4.316237, 50.852158",86,4.320969,50.848852,4.316237,50.852158
1511,3231,3232,1,JOSEPH BAECK,"4.316237, 50.852158",DUBOIS,"4.311353, 50.851463","86, 87",4.316237,50.852158,4.3113529999999995,50.851463
