lineId,directionId,pointId,(avg(speed) * 3.6),count,local_time
34,9978,1729,14.336171151022052,2,2025-06-28 19:45:00
38,4076,1729,16.726845561237255,4,2025-06-28 19:45:00
54,1780,1729,11.3009648467074,3,2025-06-28 19:45:00
64,3134,1729,18.532971513946517,6,2025-06-28 19:45:00
80,9946,1729,17.453146612367988,1,2025-06-28 19:45:00
95,4318,1729,16.384895370351103,2,2025-06-28 19:45:00
34,9978,1733,16.320774979956273,2,2025-06-28 19:45:00
71,3520,1734,14.476065723103755,1,2025-06-28 19:45:00
34,4952,1762,6.776168492797844,1,2025-06-28 19:45:00
34,4952,1764,36.94190158763462,2,2025-06-28 19:45:00
34,4952,1769,19.153080745157656,2,2025-06-28 19:45:00
80,4952,1769,23.729501524352848,1,2025-06-28 19:45:00
34,4952,1776,18.728764776524713,1,2025-06-28 19:45:00
64,4952,1776,20.680242301524764,1,2025-06-28 19:45:00
71,2596,1776,23.27497278432398,2,2025-06-28 19:45:00
80,4952,1776,5.871596145475982,3,2025-06-28 19:45:00
95,1781,1776,12.983810601182546,1,2025-06-28 19:45:00
34,4952,1777,10.992312102908382,4,2025-06-28 19:45:00
34,9978,1824,5.85832508677644,1,2025-06-28 19:45:00
80,9946,1824,5.969068550309378,3,2025-06-28 19:45:00
36,2719,1870,19.607087979344488,2,2025-06-28 19:45:00
36,2719,1871,25.390682605912634,1,2025-06-28 19:45:00
60,1962,1881,24.91250293792743,4,2025-06-28 19:45:00
60,1425,1883,11.924622561372544,4,2025-06-28 19:45:00
60,1425,1884,11.00744283946645,2,2025-06-28 19:45:00
38,4076,1906,16.333296123972755,3,2025-06-28 19:45:00
54,1780,1906,16.402779144059444,2,2025-06-28 19:45:00
95,4318,1906,15.336830598396947,3,2025-06-28 19:45:00
38,4076,1909,25.671792639640014,3,2025-06-28 19:45:00
54,1780,1909,30.83441857812337,1,2025-06-28 19:45:00
95,4318,1909,25.923525493463792,2,2025-06-28 19:45:00
38,4076,1910,12.302459098033014,3,2025-06-28 19:45:00
60,1962,1910,11.237794259952125,2,2025-06-28 19:45:00
38,1000,1980,14.605675381538735,3,2025-06-28 19:45:00
54,1780,1980,20.416699336613025,2,2025-06-28 19:45:00
60,1425,1980,17.455439407197765,2,2025-06-28 19:45:00
38,1000,1981,32.18154072298871,2,2025-06-28 19:45:00
54,1780,1981,32.0100069088168,2,2025-06-28 19:45:00
71,2596,1981,22.234019447785215,9,2025-06-28 19:45:00
95,1781,1981,23.03707365675233,4,2025-06-28 19:45:00
34,4952,1983,11.947345492514707,1,2025-06-28 19:45:00
38,1000,1983,19.77201363100555,2,2025-06-28 19:45:00
54,1780,1983,5.404658085427467,3,2025-06-28 19:45:00
71,2596,1983,8.67673716525623,3,2025-06-28 19:45:00
95,1781,1983,28.17522471925286,2,2025-06-28 19:45:00
54,1780,2967,15.226509360164718,6,2025-06-28 19:45:00
59,3125,3120,48.848158539808495,1,2025-06-28 19:45:00
59,3125,3121,15.035202709879027,5,2025-06-28 19:45:00
59,3130,3155,32.002900131525486,2,2025-06-28 19:45:00
59,3130,3156,19.113616981034212,3,2025-06-28 19:45:00
59,3125,3372,20.177015109014047,6,2025-06-28 19:45:00
71,3520,3514,20.847951016335156,3,2025-06-28 19:45:00
95,1781,3514,15.296737726582926,1,2025-06-28 19:45:00
71,2596,3525,22.11241921865476,6,2025-06-28 19:45:00
71,2596,3558,23.77514664286588,3,2025-06-28 19:45:00
95,4318,3558,38.02702548634532,10,2025-06-28 19:45:00
71,2596,3559,7.1325202953636095,1,2025-06-28 19:45:00
80,4952,3912,17.95909373467777,9,2025-06-28 19:45:00
59,3125,3921,15.779160151895391,4,2025-06-28 19:45:00
60,1962,3921,20.413443776411636,3,2025-06-28 19:45:00
80,4952,3921,17.34778801174509,4,2025-06-28 19:45:00
95,4318,4303,13.175734521929401,6,2025-06-28 19:45:00
71,3520,4304,24.956583796006147,2,2025-06-28 19:45:00
95,4318,4304,16.035979650229873,6,2025-06-28 19:45:00
71,3520,4305,17.005021603440397,3,2025-06-28 19:45:00
95,4318,4305,13.755130436251681,7,2025-06-28 19:45:00
95,4318,4306,41.1665999598319,2,2025-06-28 19:45:00
95,4318,4307,16.677342655715833,2,2025-06-28 19:45:00
95,1781,4362,29.547826947847128,4,2025-06-28 19:45:00
95,1781,4363,10.537863325846669,5,2025-06-28 19:45:00
95,1781,4364,12.182783106334245,4,2025-06-28 19:45:00
95,1781,4365,12.450310994171124,3,2025-06-28 19:45:00
95,1781,4366,21.65434765803927,8,2025-06-28 19:45:00
34,4952,4367,19.694905473444692,3,2025-06-28 19:45:00
